"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"aisément";-1,623;-1,955;19,518;-1,818;-0,474
"aimable";3,401;-0,125;-2,031;-1,59;1,629
"affecter";-0,032;-1,71;-2,031;0,476;4,754
"affable";0,693;-0,125;-2,031;-1,59;4,754
"accuser";6,315;-1,955;-0,456;-1,818;1,005
"accomplir";1,172;-0,033;-1,74;-0,013;0,389
"évêque";-1,013;0,001;-1,45;12,599;-1,47
"étonnement";-1,216;-0,033;-1,74;16,808;-1,764
"épais";-1,013;1,325;-1,45;-1,135;3,979
"émouvoir";-1,42;-0,125;0,152;0,476;0,139
"égalité";14,293;-1,221;-1,45;-1,135;-0,021
"éducation";1,172;-0,033;-1,74;-1,362;2,559
"échauffer";0;0,721;-0,115;-1,362;0,389
"vêtement";0,192;0,074;-1,159;0,114;0,012
"volupté";-0,107;-0,256;-2,322;-1,818;12,527
"voltaire";-0,032;-1,71;-2,031;21,084;-2,059
"voleur";9,693;-0,976;0,015;-0,907;-1,175
"vert";0,585;-0,732;0,205;0,441;-0,881
"vent";-0,81;0,074;1,748;0,114;-1,175
"tristement";-1,623;-1,955;-0,456;-0,19;12,527
"tracer";0,036;-1,221;-1,45;5,74;-0,021
"tourmenter";0,192;-0,976;0,015;-0,907;1,705
"théatin";-1,42;-1,71;24,261;-1,59;-2,059
"tempérament";19,416;-0,256;-2,322;-0,19;-2,354
"sévère";-1,42;-1,71;-2,031;6,974;1,629
"surpasser";-1,42;2,412;-2,031;-0,081;1,629
"succéder";-0,81;-0,976;-1,159;2,646;1,705
"soupirer";-1,623;-1,955;-2,322;-1,818;27,359
"soulager";6,676;0,001;-1,45;0,008;-1,47
"solide";-1,013;0,001;0,888;-1,135;0,857
"siège";-1,42;-1,71;-0,268;6,974;0,139
"situer";0,693;-1,71;-0,268;6,974;-2,059
"signifier";0;-1,465;0,41;3,972;-1,764
"seconde";-1,623;-0,256;-0,456;-0,19;7,256
"sauter";0;-1,465;2,625;-0,013;-0,124
"sain";6,315;-0,256;-2,322;0,228;-0,474
"rêve";5,334;0,36;-0,869;-0,68;-0,881
"résoudre";-0,607;-0,732;3,375;-0,68;0,194
"réparer";0,036;0,001;0,888;0,008;-1,47
"ruiner";0;-1,465;-1,74;3,972;0,389
"risible";-1,013;0,001;-1,45;12,599;-1,47
"rappeler";0,693;-1,71;-0,268;-1,59;4,754
"précipiter";-0,032;-1,71;-2,031;-0,081;9,512
"prosterner";-1,42;-1,71;0,152;-1,59;9,512
"pousser";-1,013;-1,221;-1,45;-1,135;17,079
"possession";6,315;0,149;-2,322;-1,818;0,025
"portoient";0,693;2,412;-2,031;0,476;-2,059
"plan";-1,42;2,412;-2,031;6,974;-2,059
"peupler";-0,107;0,149;-2,322;10,336;-2,354
"persuader";0;0,721;-0,115;-1,362;0,389
"peinture";-1,623;0,149;-0,456;0,228;1,005
"paysan";0,693;-0,125;-2,031;0,476;0,139
"pardonner";23,814;-1,71;-2,031;-1,59;-0,282
"pape";0,192;0,074;0,015;-0,907;0,012
"page";-0,607;-0,732;-0,869;13,262;-0,881
"ouvert";-0,032;-1,71;-2,031;0,476;4,754
"oreillon";-1,42;-0,125;16,147;-1,59;-2,059
"opération";0,384;9,381;-2,322;-1,818;-0,474
"opposer";3,152;0,074;-1,159;-0,907;0,012
"nécessairement";3,401;-0,125;1,681;-1,59;-2,059
"noblesse";-0,81;2,352;-1,159;0,114;0,012
"mourant";-1,013;-1,221;-0,017;1,543;0,857
"membre";0;0,721;-0,115;-0,013;-0,124
"matelot";0,585;-0,732;3,375;-0,68;-0,881
"législation";-1,42;28,813;-2,031;-1,59;-2,059
"lune";-0,81;0,074;-1,159;-0,907;6,253
"lumineux";2,453;0,149;-2,322;-1,818;1,005
"lien";0,585;0,36;-0,869;-0,68;0,194
"leçon";-1,42;0,359;-0,268;2,774;-0,282
"lecture";0,192;2,352;-1,159;0,114;-1,175
"iv";-1,623;-1,955;-0,456;-0,19;12,527
"intérieur";-1,42;-1,71;-2,031;21,084;-0,282
"intime";-1,42;0,359;-0,268;-1,59;4,754
"interroger";-0,607;-0,732;0,205;0,441;0,194
"impression";-1,623;-0,256;-2,322;-1,818;19,228
"importer";-1,216;0,721;0,41;0,883;-1,764
"imagination";-1,013;0,001;-1,45;-1,135;9,386
"hôtellerie";-1,42;-1,71;24,261;-1,59;-2,059
"horizon";-0,81;-0,976;0,015;0,114;1,705
"hommage";-0,032;-1,71;-2,031;-0,081;9,512
"henri";-1,216;-1,465;-0,115;-1,362;12,616
"haine";0;0,721;-1,74;-1,362;2,559
"gorge";-1,216;-1,465;12,813;-1,362;-0,124
"geste";-1,42;-1,71;-2,031;-1,59;23,929
"garde";6,676;-1,221;-1,45;-1,135;0,857
"félicité";-1,623;1,634;-2,322;0,228;1,005
"fécond";6,315;0,149;-2,322;-1,818;0,025
"fortuné";0,036;0,001;-1,45;-1,135;3,979
"folie";-1,216;15,513;-0,115;-1,362;-1,764
"favoriser";-1,623;1,634;-0,456;-1,818;3,415
"fauteuil";-1,623;-1,955;-0,456;25,403;-2,354
"fardeau";3,401;-1,71;-2,031;-1,59;4,754
"fable";-0,107;-0,256;-2,322;-1,818;12,527
"extrémité";-0,607;-0,732;0,205;4,635;-0,881
"extraordinaire";-1,216;3,531;2,625;-1,362;-1,764
"expression";-0,032;2,412;-2,031;-0,081;0,139
"entrailles";2,453;-0,256;-2,322;-1,818;3,415
"engloutir";0;-1,465;-0,115;3,972;-0,124
"enfermer";4,732;-0,033;-1,74;-0,013;-0,124
"détestable";2,453;-1,955;1,046;-1,818;0,025
"déposer";14,853;-0,732;-0,869;-0,68;-0,881
"déplorable";3,401;-1,71;-2,031;0,476;0,139
"dédaigner";4,732;-1,465;-1,74;-1,362;2,559
"doré";-1,623;-1,955;0,03;10,336;-0,474
"doigt";-0,032;-1,71;0,152;-0,081;1,629
"deviner";-1,623;-1,955;1,046;10,336;-2,354
"destruction";0;-0,033;-1,74;-1,362;6,635
"côte";0,036;-1,221;9,537;-1,135;-1,47
"converser";0,693;2,412;-2,031;-0,081;-0,282
"convenable";-1,42;28,813;-2,031;-1,59;-2,059
"complaisance";-1,013;1,325;-0,017;1,543;-1,47
"clair";-1,216;0,721;-1,74;-1,362;6,635
"chambre";-1,216;-1,465;2,625;3,972;-1,764
"cercle";-1,013;0,001;-1,45;5,74;-0,021
"centre";0,693;-0,125;-2,031;-0,081;1,629
"branche";0;0,721;-1,74;-1,362;2,559
"borné";0,384;-1,955;-2,322;-1,818;12,527
"bordeaux";-1,623;-0,256;19,518;-1,818;-2,354
"boeuf";1,924;-1,221;-1,45;1,543;-0,021
"base";-1,42;6,284;-2,031;-1,59;1,629
"aveugle";19,416;-1,955;-2,322;-1,818;0,025
"autrement";-1,216;-1,465;12,813;-1,362;-0,124
"attentivement";-1,623;-1,955;7,4;-0,19;0,025
"attentif";-0,107;-0,256;-2,322;17,036;-2,354
"assiéger";0,036;-1,221;-1,45;1,543;0,857
"arrêt";-1,013;5,193;-1,45;0,008;-0,021
"applaudir";0,693;0,359;-2,031;-1,59;1,629
"animé";-1,623;-0,256;-2,322;0,228;7,256
"allemagne";0,036;-1,221;4,061;-1,135;-0,021
"aliment";0;-1,465;-0,115;-0,013;2,559
"aisé";-1,42;0,359;-2,031;6,974;-0,282
"adopter";0,036;1,325;-1,45;-1,135;0,857
"admiration";-1,623;-1,955;-0,456;5,3;1,005
"accepter";-0,607;-0,732;10,381;-0,68;-0,881
"absolu";0,384;-0,256;-0,456;0,228;0,025
"épuiser";3,152;0,074;-1,159;-0,907;0,012
"épaule";1,172;-0,033;-0,115;-0,013;-0,124
"énergie";-1,42;6,284;-2,031;-1,59;1,629
"éléphant";-1,013;-1,221;-1,45;-1,135;17,079
"éloquence";1,172;-0,033;-1,74;-0,013;0,389
"école";0;8,461;-0,115;-1,362;-1,764
"éclair";0;-1,465;-0,115;-1,362;6,635
"xv";-1,013;-1,221;-1,45;22,12;-1,47
"xiv";-1,216;-1,465;-1,74;26,555;-1,764
"volontairement";0,036;0,001;-1,45;-1,135;3,979
"voiler";0;0,721;-1,74;-1,362;2,559
"vilain";-0,607;0,36;0,205;0,441;-0,881
"vide";-1,216;-1,465;-0,115;16,808;-1,764
"victime";10,681;-1,465;-1,74;-1,362;0,389
"vestibule";-1,216;-0,033;-1,74;16,808;-1,764
"valeur";-1,42;0,359;-0,268;2,774;-0,282
"user";14,962;-1,71;-2,031;-1,59;0,139
"unique";-1,42;-1,71;-2,031;21,084;-0,282
"témoin";1,924;-1,221;-0,017;-1,135;0,857
"tremblement";-0,81;-0,976;13,847;-0,907;-1,175
"tigre";-1,013;-1,221;-0,017;-1,135;9,386
"tendrement";0;-1,465;12,813;-1,362;-1,764
"tarder";0;-1,465;-1,74;3,972;0,389
