"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"fois";-0,548115885351581;0,52078564721537;-0,235285613423287;-0,539487567221424;-0,57205537383889;0,543531461265023;-0,245561938894429;-0,563050205615419;0,465421565400033;0,272837984988358;0,0486639673230967;0,213076482288515;0,000591751310393253;0,000534210554047613;0,000109039837737867;0,000573267513932065;0,00196967444626133;0,482024372472924;0,000457648924850214
"livre";0,290090907673489;-1,38472444119659;-0,525859991242669;0,641126493246674;0,176898301041585;-0,844409095834688;-0,3206709916647;0,39096084850663;0,0500779481801641;0,74095204946984;0,0933756403988052;0,115594361951192;0,000159498642428135;0,00363425563700044;0,000524117929607429;0,000779069503399793;0,00189534710866657;0,777733335087023;0,00114643697657889
"cacambo";3,00083951189705;0,571313843461628;-0,131999366786896;0,0779922546705695;0,981120105613842;0,186790228605518;-0,0431570006224854;0,0254994540148123;0,975653509538667;0,0229638479457035;0,00107119567087642;0,000311446844755407;0,0240955373823288;0,000873374630467691;4,66224157839376e-05;1,62762378764355e-05;0,00267578415341163;1,82269845009806;0,0088895694246793
"seul";-0,576340761060787;0,343276029479567;-0,250154806877441;-0,244920217305366;-0,761666530526666;0,453658460500757;-0,330593559786088;-0,323675757077227;0,70293620785241;0,161930737836131;0,0751432524703731;0,0599898018410887;0,000740676392582416;0,000262758508433008;0,000139536407173829;0,000133757795848613;0,00222982012784302;0,412421444385337;0,000379273333853622
"sentir";-0,795094326631572;0,21872007625;-0,574341962972253;0,397744055932231;-0,735668056191568;0,202372684542458;-0,53141497975351;0,368016204730137;0,683299841608539;0,0335765757701407;0,202315961954942;0,0808076206663827;0,00155060016441033;0,000117338305924528;0,000809102630014649;0,000388034117955323;0,00245280214062732;0,577075790115778;0,000816823504440742
"chapitre";0,742334081217455;-0,463444924430241;0,347040048002271;-0,315551910222435;0,747642160184113;-0,466758799298465;0,349521566803574;-0,317808272283562;0,683760178531685;0,173055880124671;0,0847967554244524;0,0583871859191944;0,00135164087323619;0,000526815782172217;0,000295407628383739;0,000244232887281546;0,00245280214062732;0,538601251242244;0,000711536580846623
"gens";0,0892901409156641;-1,69746268121655;0,0310372575552658;0,454809984463541;0,0507365749873852;-0,964534737325329;0,0176360360640811;0,25843279722832;0,00403208185579861;0,946254350029952;0,000276442011742107;0,04943712610251;1,68888645789405e-05;0,00610371021945164;2,04061049960824e-06;0,000438180873798142;0,00211832912145087;0,843642982919785;0,00150768576296634
"aimer";0,307794529344983;1,07433466367995;0,50107938072392;0,32750452399041;0,242781829575302;0,847412511780036;0,395240841588387;0,258328657425425;0,0913234069458687;0,722477929319016;0,13733727217899;0,0488613915561286;0,000193643562368384;0,00235917657674809;0,000513209083479512;0,000219238023185677;0,0020440017838561;0,611068229122977;0,00076323922013498
"maître";1,47360243263264;0,333058119986268;0,152062774251151;0,246179204690012;0,957984220375219;0,216520016762366;0,0988555223669326;0,160040312268096;0,950206556447738;0,0315197316269976;0,00574140553045364;0,0125323063948128;0,0051648678566037;0,000263838766258451;5,49976805421887e-05;0,000144145564612592;0,00237847480303256;0,906966359287146;0,00195650477628323
"vieux";2,73389304778401;0,230763063233577;-0,0855930624155506;0,0239199494537841;0,995934181693456;0,0840650378524847;-0,0311808308099561;0,00871383586300609;0,994808199052936;0,00460250215801164;0,000553309957859252;3,59888311948619e-05;0,0144439163902754;0,00010290927420667;1,415790699238e-05;1,10571306144353e-06;0,00193251077746395;1,64449176452148;0,00522619163468509
"pied";-0,00557018556600676;0,258460937117902;0,150638106531078;-0,683137494410594;-0,00746884565579551;0,346560240141115;0,20198479103246;-0,915992554822077;0,000112081290897838;0,156699900905395;0,0465134479878129;0,796674569815895;4,26638095685578e-08;9,185655093604e-05;3,12025437844852e-05;0,000641706665005747;0,0013750557455032;0,315662478189661;0,000137014404826186
"paraître";0,20697764604339;-0,217351280536134;0,813180763219323;-0,108348102316152;0,236939455606059;-0,248814763671219;0,930895732122269;-0,124032429924132;0,0943010553059974;0,067527266186993;0,825959779702818;0,0122118988041957;0,000108261584859264;0,000119385587269489;0,00167109710307556;2,96667595783696e-05;0,00252712947822209;0,404375679033981;0,000413235428348637
"enfant";-0,524164744876882;0,328073631931237;0,250717363270412;0,545062155144106;-0,608370913286139;0,380778098935265;0,290994678219612;0,632625456717084;0,527644633351936;0,134225076284698;0,0684998744858428;0,269630415877523;0,000561586791565764;0,000220000629488271;0,000128484309257088;0,000607258117042091;0,0020440017838561;0,432929225805201;0,00038310258289713
"arriver";0,82462683234946;-0,170115138529705;0,263847530206323;-0,230878332219211;0,904128207730322;-0,186515753881602;0,289284783421189;-0,253137060939898;0,890654515003627;0,0246130464497279;0,0517386934263593;0,0329937451202885;0,00149102703081654;6,34536368760909e-05;0,000152642917814874;0,000116879123420958;0,00219265645904564;0,524230983671422;0,000602581735180069
"servir";-0,00550935719765038;-0,400261834753768;-1,01073344314932;-0,160885202567418;-0,00501326097377123;-0,364219810673541;-0,919720821076354;-0,146398114762371;4,36121559239473e-05;0,149478645486845;0,832902196970266;0,0175755453869653;5,86575319617849e-08;0,000309606655669077;0,00197421840498088;5,00212025073685e-05;0,00193251077746395;0,500514902575949;0,000484123261499622
"père";0,448618764444267;0,79275885051305;0,0962868059430263;0,265046218948572;0,47047518993551;0,831381565660121;0,1009778388794;0,277959104889402;0,310671634015336;0,629961525097403;0,00812073490716097;0,0512461059801039;0,000351537215814648;0,00109773784629621;1,61938458056849e-05;0,000122704266924703;0,00174669243347703;0,482888090410031;0,000407295327390099
"perdre";0,298234208365196;1,09376339214618;0,313178643754573;0,5284756715049;0,23129153002964;0,848253491263219;0,242881485942429;0,409852200778167;0,0844330271308079;0,737444445697373;0,0528319651943369;0,125290561977486;0,000181800965034816;0,00244527685781001;0,000200477458737827;0,000570862176508493;0,0020440017838561;0,615773701580111;0,000775038978581534
"entendre";0,313744747667247;0,867214675864846;0,909211908299454;0,726665735911949;0,211276813130002;0,583985403352841;0,612266486924874;0,489339254396295;0,0754058952788245;0,37410258177241;0,359333447281988;0,19115807566678;0,000230468756555426;0,00176080948135232;0,00193548299889225;0,00123631317006662;0,00234131113423517;0,685478241813124;0,00110013625910325
"sortir";-0,0123682959794409;-0,127692571351303;0,694690033623674;0,212434902782636;-0,0167663336079108;-0,173098723873252;0,941714596512412;0,287974548469592;0,000500068030860425;0,0346119216797711;0,895172082889881;0,0697159273994891;3,12680652554182e-07;3,33282519253349e-05;0,000986423493194714;9,22429142119345e-05;0,0020440017838561;0,331829646441359;0,000225066905164146
"idée";-0,775809715321764;0,432826305852098;0,259137945822255;1,38616042731496;-0,465482917366351;0,259694158995386;0,155481794877547;0,831691053748594;0,3604808818092;0,0728591667799615;0,0228217463245578;0,543838205086282;0,00138682192255216;0,000431655785800862;0,000154729204988429;0,00442728278860367;0,00230414746543779;0,775236042448217;0,00138477170855017
